SQLDATE,ActionGeo_FullName,ActionGeo_Lat,ActionGeo_Long,EventCode,GoldsteinScale,SOURCEURL
20260412,"Los Angeles, California, United States",34.0522,-118.244,141,-6.5,https://www.nbclosangeles.com/news/national-international/hungarian-prime-minister-viktor-orban-concedes-defeat-peter-magyar-election-result/3874916/
20260413,"Swartz Creek, Michigan, United States",42.9573,-83.8305,134,-5.8,https://www.abc12.com/news/education/swartz-creek-high-school-bomb-threat-deemed-not-credible/article_36747b49-720e-4f0c-8849-74ba020f4c03.html
20260413,"Genesee County, Michigan, United States",43.0334,-83.6833,1383,-7.0,https://www.abc12.com/news/education/swartz-creek-high-school-bomb-threat-deemed-not-credible/article_36747b49-720e-4f0c-8849-74ba020f4c03.html
20260413,"Michigan, United States",43.3504,-84.5603,141,-6.5,https://www.ironmountaindailynews.com/news/local-news/2026/04/ups-jobless-rate-rises-but-lower-than-in-2025/
20260413,"Michigan, United States",43.3504,-84.5603,130,-4.4,https://www.moneycontrol.com/news/trends/ceo-shares-very-dangerous-red-flag-in-a-boss-when-folks-don-t-feel-supported-13887599.html
20260413,"Texas, United States",31.106,-97.6475,130,-4.4,https://www.ftvlive.com/sqsp-test/2026/4/12/nexstar-sidelining-traditional-networks-to-force-feed-newsnation-to-viewers
20260412,"Houston, Texas, United States",29.7633,-95.3633,130,-4.4,https://www.tpr.org/news/2026-04-12/texas-house-committee-slaps-democrats-with-nearly-422k-in-penalties-for-2025-quorum-break
20260412,"Houston, Texas, United States",29.7633,-95.3633,130,-4.4,https://www.tpr.org/news/2026-04-12/texas-house-committee-slaps-democrats-with-nearly-422k-in-penalties-for-2025-quorum-break
20260412,"Houston, Texas, United States",29.7633,-95.3633,130,-4.4,https://www.tpr.org/news/2026-04-12/texas-house-committee-slaps-democrats-with-nearly-422k-in-penalties-for-2025-quorum-break
20260412,"Houston, Texas, United States",29.7633,-95.3633,130,-4.4,https://www.tpr.org/news/2026-04-12/texas-house-committee-slaps-democrats-with-nearly-422k-in-penalties-for-2025-quorum-break
20260413,"Texas, United States",31.106,-97.6475,130,-4.4,https://www.wsws.org/en/articles/2026/04/13/ecww-a13.html
20260412,"Texas, United States",31.106,-97.6475,130,-4.4,https://www.el-balad.com/16911080
20260407,"Port Washington, Ohio, United States",40.3281,-81.5207,141,-6.5,https://www.yahoo.com/news/articles/ragtag-wisconsin-group-leading-america-084500295.html
20260407,"Lindale, Texas, United States",32.5157,-95.4094,130,-4.4,https://www.cbs19.tv/article/weather/forecast/7-day/ef-1-tornado-in-lindale/501-098639aa-213b-4527-9674-f4e354870a3a
20260407,"Texas Medical Center, Texas, United States",29.7097,-95.4013,144,-7.5,https://www.houstonpublicmedia.org/articles/news/in-depth/2026/04/06/548206/harris-county-approved-park-seizure-for-ben-taub-expansion-construction-will-take-years/
20260407,"Houston, Texas, United States",29.7633,-95.3633,144,-7.5,https://www.houstonpublicmedia.org/articles/news/in-depth/2026/04/06/548206/harris-county-approved-park-seizure-for-ben-taub-expansion-construction-will-take-years/
20260407,"Houston, Texas, United States",29.7633,-95.3633,130,-4.4,https://www.rte.ie/news/world/2026/0407/1566966-artemis-communications-restored/
20260407,"Houston, Texas, United States",29.7633,-95.3633,130,-4.4,https://www.wyomingnewsnow.tv/news/national/artemis-astronauts-survey-lunar-surface-on-flyby-solar-eclipse-up-next/article_e21e5f20-28de-567a-9309-71347ecf55f6.html
20260407,"Houston, Texas, United States",29.7633,-95.3633,130,-4.4,https://www.rte.ie/news/world/2026/0407/1566966-artemis-moon-mission/
20260407,"Cameron County, Texas, United States",26.117,-97.5169,141,-6.5,https://www.thereporter.com/2026/04/06/solano-attempts-to-sway-maritime-manufacturer/
20260407,"Texas, United States",31.106,-97.6475,143,-6.5,https://theweek.com/edition/theweekus-morning-report-2026-04-07-105604
20260407,"Michigan, United States",43.3504,-84.5603,130,-4.4,https://www.counterpunch.org/2026/04/07/remembering-a-red-scare-hero-h-chandler-davis/
20260407,"Michigan, United States",43.3504,-84.5603,138,-7.0,https://www.el-balad.com/16905050
20260407,"Michigan, United States",43.3504,-84.5603,138,-7.0,https://www.clickondetroit.com/news/local/2026/04/07/tornado-safety-tips-what-to-do-when-severe-weather-moves-into-se-michigan/
20260407,"Michigan, United States",43.3504,-84.5603,1384,-7.0,https://ampress.ro/dupa-ce-trump-ordona-publicarea-datelor-despre-ozn-uri-ramane-o-intrebare-daca-extraterestrii-exista-ce-ar-crede-despre-noi/
20260407,"Texas, United States",31.106,-97.6475,139,-7.0,https://www.upi.com/Top_News/US/2026/04/07/trump-osave-system-citizen-voting-verification/6261775566943/
20260407,"Texas, United States",31.106,-97.6475,144,-7.5,https://www.gillettenewsrecord.com/records/courts/article_476bce7d-ee30-4f4e-ab90-3862908f82dd.html
20260407,"Texas, United States",31.106,-97.6475,139,-7.0,http://www.newstomato.com/ReadNews.aspx?no=1297005
20260407,"Texas, United States",31.106,-97.6475,130,-4.4,https://www.timesleaderonline.com/news/community/2026/04/police-reports/
20260407,"Texas, United States",31.106,-97.6475,138,-7.0,https://nypost.com/2026/04/06/media/death-threats-force-nick-shirley-to-hire-security-they-killed-charlie-kirk/
